,CityState,Impressions,CPC,CTR,Cost
0,"NEW YORK, NY",3292.1,14.77,0.032,1546.59
1,"LOS ANGELES, CA",1291.74,20.39,0.028,721.64
2,"SAN DIEGO, CA",1023.23,19.63,0.022,428.26
3,"SAN FRANCISCO, CA",1017.5,20.14,0.023,464.12
4,"CHICAGO, IL",972.37,14.76,0.034,486.44
5,"BOSTON, MA",917.06,17.54,0.019,293.9
6,"AUSTIN, TX",909.65,26.41,0.022,504.2
7,"ATLANTA, GA",859.33,20.67,0.031,532.49
8,"WASHINGTON, DC",769.31,18.85,0.022,309.22
9,"SECAUCUS, NJ",708.6,16.16,0.038,431.61
10,"CAMBRIDGE, MA",671.61,14.97,0.019,187.89
11,"DALLAS, TX",662.32,14.8,0.026,246.38
12,"HOUSTON, TX",639.47,14.32,0.028,250.96
13,"SEATTLE, WA",602.91,17.31,0.03,311.31
14,"PHILADELPHIA, PA",538.8,16.33,0.027,233.4
15,"SAN JOSE, CA",475.56,17.31,0.024,191.21
16,"MIAMI, FL",459.3,14.16,0.038,245.93
17,"PHOENIX, AZ",450.0,14.25,0.027,169.72
18,"DENVER, CO",425.99,21.3,0.029,260.87
19,"ORLANDO, FL",362.11,22.66,0.032,257.32
20,"CHARLOTTE, NC",329.03,117.38,0.032,1214.1
21,"MINNEAPOLIS, MN",324.74,17.6,0.028,157.84
22,"IRVINE, CA",319.32,42.98,0.022,288.54
23,"PORTLAND, OR",300.405,17.68,0.031,158.88
24,"LAS VEGAS, NV",284.7,12.86,0.03,108.21
25,"SALT LAKE CITY, UT",283.07,20.65,0.031,178.71
26,"SAN ANTONIO, TX",265.24,11.22,0.03,86.63
27,"CLEVELAND, OH",258.72,21.85,0.037,207.61
28,"BALTIMORE, MD",229.19,11.54,0.024,62.02
29,"BERKELEY, CA",215.25,28.86,0.021,129.19
30,"COLUMBUS, OH",205.64,11.67,0.04,94.48
31,"OAKLAND, CA",204.32,17.43,0.022,77.86
32,"TAMPA, FL",192.77,11.65,0.033,72.97
33,"NEW BRUNSWICK, NJ",185.42,33.2,0.029,176.01
34,"RALEIGH, NC",174.16,36.14,0.03,184.3
35,"PROVO, UT",173.24,16.73,0.036,103.9
36,"ARLINGTON, VA",171.935,16.595,0.028,83.78999999999999
37,"PITTSBURGH, PA",162.68,11.66,0.031,57.42
38,"PLANO, TX",161.8,10.82,0.024,40.52
