State,Borders,,,,,,,,
AL,AL,FL,GA,MS,TN,,,,
AK,AK,,,,,,,,
AZ,AZ,CA,CO,NM,NV,UT,,,
AR,AR,LA,MS,MO,OK,TN,TX,,
CA,CA,,,,,,,,
CO,CO,AZ,KS,NE,NM,OK,UT,WY,MT
CT,CT,MA,NY,RI,,,,,
DE,DE,MD,,,,,,,
FL,FL,AL,GA,,,,,,
GA,GA,AL,FL,NC,SC,TN,,,
HI,HI,,,,,,,,
ID,ID,MT,NV,OR,UT,WA,WY,,
IL,IL,IN,IA,MI,KY,MO,WI,,
IN,IN,IL,KY,MI,OH,,,,
IA,IA,IL,MN,MO,NE,SD,WI,,
KS,KS,CO,MO,NE,OK,,,,
KY,KY,IL,IN,MO,OH,TN,VA,WV,
LA,LA,AR,MS,TX,,,,,
ME,ME,NH,,,,,,,
MD,MD,DE,VA,WV,,,,,
MA,MA,CT,NH,RI,VT,,,,
MI,MI,IL,IN,OH,WI,,,,
MN,MN,IA,ND,SD,WI,MT,,,
MS,MS,AL,AR,LA,TN,,,,
MO,MO,AR,IL,IA,KS,KY,NE,OK,TN
MT,MT,ID,ND,SD,WY,,,,
NE,NE,CO,IA,KS,MO,SD,WY,,
NV,NV,AZ,CA,ID,OR,UT,,,
NH,NH,ME,MA,VT,,,,,
NJ,NJ,DE,NY,,,,,,
NM,NM,AZ,CO,OK,TX,UT,,,
NY,NY,CT,MA,VT,,,,,
NC,NC,GA,SC,TN,VA,,,,
ND,ND,MN,MT,SD,,,,,
OH,OH,IN,KY,MI,WV,,,,
OK,OK,AR,CO,KS,MO,NM,TX,,
OR,OR,CA,ID,NV,WA,,,,
PA,PA,DE,MD,NY,OH,WV,,,
RI,RI,CT,MA,,,,,,
SC,SC,GA,NC,,,,,,
SD,SD,IA,MN,MT,NE,ND,WY,,
TN,TN,AL,AR,GA,KY,MS,MO,NC,VA
TX,TX,AR,LA,NM,OK,,,,
UT,UT,AZ,CO,ID,NV,NM,WY,MT,
VT,VT,MA,NH,NY,,,,,
VA,VA,KY,MD,OH,VA,,,,
WA,WA,ID,OR,MT,,,,,
WV,WV,KY,MD,OH,VA,,,,
WI,WI,IL,IA,MI,MN,,,,
WY,WY,CO,ID,MT,NE,SD,UT,,
DC,DC,MD,VA,,,,,,
