,CityState,University,Uni CityState,Distance,Closest,City,City Lat,City Lng,Distance_Text,State,Time,Time_Text,Uni Lat,Uni Lng,Population,White Population,Black Population,Native American Population,Asian Population,Hispanic Population,Education None,Education High School,Education GED,Education Associates,Education Bachelors,Education Masters,Education Professional,Education Doctorate,Poverty,Employment Labor Force,Employment Unemployed,Employment Male Computer Engineering,Employment Female Computer Engineering,Median Age,Median Male Age,Median Female Age,Household Income,Income Per Capita,Median Gross Rent,Median Home Value,Impressions,CPC,CTR,Cost
1,"ABBEVILLE, AL",GTECH,"ATLANTA, GA",157.537625606406,1,ABBEVILLE,31.595148,-85.208852,184 mi,AL,11089.0,3 hours 5 mins,33.7756178,-84.396285,6470.0,4064.0,2274.0,0.0,0.0,96.0,66.0,1414.0,306.0,294.0,346.0,190.0,34.0,14.0,1363.0,2434.0,222.0,68.0,7.0,50.1,45.3,52.4,33944.0,20104.0,516.0,78100.0,0.23,2.45,0.04,0.02
2,"ABBEVILLE, GA",GTECH,"SAVANNAH, GA",131.676818199077,1,ABBEVILLE,31.976256,-83.339665,155 mi,GA,9231.0,2 hours 34 mins,32.0835,-81.0998,4719.0,2676.0,1903.0,0.0,41.0,89.0,55.0,1059.0,798.0,96.0,181.0,63.0,0.0,0.0,689.0,987.0,58.0,40.0,0.0,39.3,38.2,45.8,29200.0,10071.0,435.0,58400.0,,,,
5,"ABBEVILLE, SC",GTECH,"ATLANTA, GA",116.574634491178,1,ABBEVILLE,34.182407,-82.425607,146 mi,SC,9410.0,2 hours 37 mins,33.7756178,-84.396285,13005.0,8475.0,4410.0,6.0,0.0,108.0,97.0,2867.0,519.0,660.0,752.0,228.0,80.0,16.0,3382.0,5217.0,579.0,47.0,22.0,43.0,40.1,44.9,32423.0,17810.0,488.0,94900.0,0.23,13.23,0.042,0.13
59,"ACWORTH, GA",GTECH,"ATLANTA, GA",25.7768582055182,1,ACWORTH,34.0723555,-84.669353,29.5 mi,GA,3498.0,58 mins,33.7756178,-84.396285,94660.0,73829.0,13420.0,510.0,2076.0,8843.0,479.0,12386.0,2634.0,4584.0,14169.0,5042.0,877.0,500.0,9444.0,50946.0,4608.0,2552.0,662.0,36.75,36.0,37.75,68384.5,29153.0,1025.0,167450.0,11.6,16.77,0.033,6.25
70,"ADAIRSVILLE, GA",GTECH,"ATLANTA, GA",50.5133923758303,1,ADAIRSVILLE,34.366336,-84.917546,58.0 mi,GA,4959.0,1 hour 23 mins,33.7756178,-84.396285,16358.0,14266.0,1508.0,118.0,77.0,694.0,241.0,2882.0,841.0,964.0,932.0,171.0,104.0,70.0,2752.0,7678.0,703.0,160.0,0.0,36.5,38.2,35.8,47106.0,19809.0,753.0,110800.0,1.14,57.82,0.045,2.88
74,"ADAMS RUN, SC",GTECH,"SAVANNAH, GA",65.0676259318427,1,ADAMS RUN,32.797192,-80.370638,85.6 mi,SC,5150.0,1 hour 26 mins,32.0835,-81.0998,1426.0,615.0,776.0,35.0,0.0,11.0,60.0,390.0,39.0,38.0,105.0,44.0,9.0,0.0,500.0,716.0,71.0,0.0,0.0,50.0,45.6,51.3,31515.0,21656.0,864.0,122300.0,,,,
88,"ADAMSVILLE, AL",GTECH,"ATLANTA, GA",150.558337494208,1,ADAMSVILLE,33.59595,-87.000649,166 mi,AL,9751.0,2 hours 43 mins,33.7756178,-84.396285,7687.0,4426.0,2797.0,2.0,21.0,487.0,62.0,1586.0,383.0,342.0,451.0,210.0,13.0,60.0,1830.0,3427.0,481.0,29.0,9.0,40.0,34.8,46.6,42949.0,20505.0,795.0,91700.0,,,,
106,"ADEL, GA",GTECH,"ATLANTA, GA",191.603949340176,1,ADEL,31.117296,-83.434236,207 mi,GA,10934.0,3 hours 2 mins,33.7756178,-84.396285,10227.0,7234.0,2891.0,34.0,0.0,580.0,145.0,2348.0,246.0,415.0,670.0,248.0,118.0,49.0,2292.0,4631.0,276.0,70.0,0.0,38.1,35.9,38.8,39759.0,21175.0,681.0,105800.0,,,,
113,"ADGER, AL",GTECH,"ATLANTA, GA",164.067767450233,1,ADGER,33.422765,-87.20973,183 mi,AL,10908.0,3 hours 2 mins,33.7756178,-84.396285,3201.0,3039.0,134.0,16.0,0.0,18.0,0.0,760.0,196.0,226.0,149.0,54.0,0.0,19.0,383.0,1348.0,144.0,6.0,7.0,42.8,40.2,48.0,44663.0,20080.0,705.0,86500.0,,,,
120,"ADRIAN, GA",GTECH,"SAVANNAH, GA",93.3175158482366,1,ADRIAN,32.554049,-82.595322,102 mi,GA,5628.0,1 hour 34 mins,32.0835,-81.0998,2639.0,2291.0,312.0,0.0,0.0,8.0,31.0,626.0,158.0,116.0,84.0,23.0,2.0,8.0,511.0,1179.0,127.0,6.0,5.0,43.7,42.6,46.5,42300.0,24577.0,445.0,66100.0,,,,
159,"AIKEN, SC",GTECH,"SAVANNAH, GA",108.368825163818,1,AIKEN,33.575638,-81.6879773333333,126 mi,SC,8718.0,2 hours 25 mins,32.0835,-81.0998,70106.0,47674.0,19292.0,161.0,797.0,2232.0,463.0,11456.0,2072.0,3491.0,9633.0,4934.0,898.0,920.0,10013.0,32270.0,2802.0,1881.0,645.0,43.5,42.6333333333333,44.1,52874.6666666667,27581.6666666667,724.333333333333,138800.0,3.68,11.93,0.029,1.26
160,"AILEY, GA",GTECH,"SAVANNAH, GA",83.1963751627719,1,AILEY,32.188589,-82.51347,96.3 mi,GA,5727.0,1 hour 35 mins,32.0835,-81.0998,1879.0,1368.0,468.0,7.0,0.0,177.0,20.0,416.0,53.0,95.0,120.0,75.0,39.0,5.0,417.0,790.0,46.0,8.0,3.0,42.2,41.1,42.8,43158.0,21020.0,713.0,93700.0,,,,
170,"AKRON, AL",GTECH,"ATLANTA, GA",204.216125952507,1,AKRON,32.852762,-87.750329,,AL,,,33.7756178,-84.396285,1067.0,526.0,541.0,0.0,0.0,0.0,23.0,280.0,41.0,34.0,95.0,24.0,0.0,6.0,256.0,429.0,18.0,6.0,0.0,42.3,40.8,43.9,32955.0,20493.0,611.0,105400.0,,,,
179,"ALABASTER, AL",GTECH,"ATLANTA, GA",143.927284496548,1,ALABASTER,33.215623,-86.797656,166 mi,AL,9164.0,2 hours 33 mins,33.7756178,-84.396285,26499.0,19814.0,3473.0,15.0,91.0,3628.0,191.0,3872.0,606.0,1495.0,3271.0,1323.0,192.0,107.0,3320.0,13469.0,715.0,615.0,118.0,36.2,36.2,36.2,65649.0,24701.0,931.0,157400.0,0.92,11.08,0.052,0.52
185,"ALAMO, GA",GTECH,"SAVANNAH, GA",99.4298886762656,1,ALAMO,32.128124,-82.79438,120 mi,GA,6881.0,1 hour 55 mins,32.0835,-81.0998,5221.0,2549.0,2672.0,0.0,0.0,165.0,0.0,1213.0,1045.0,272.0,83.0,49.0,12.0,0.0,382.0,631.0,33.0,0.0,0.0,37.3,36.1,47.2,30469.0,5328.0,502.0,51000.0,0.23,16.63,0.036,0.13
195,"ALAPAHA, GA",GTECH,"SAVANNAH, GA",132.440156616825,1,ALAPAHA,31.378501,-83.192225,180 mi,GA,11036.0,3 hours 4 mins,32.0835,-81.0998,2221.0,1482.0,532.0,13.0,6.0,182.0,14.0,489.0,48.0,196.0,51.0,40.0,2.0,0.0,456.0,814.0,63.0,34.0,0.0,35.9,35.2,36.6,38814.0,17194.0,425.0,74000.0,,,,
200,"ALBANY, GA",GTECH,"ATLANTA, GA",154.207578310304,1,ALBANY,31.545441,-84.177513,190 mi,GA,10748.0,2 hours 59 mins,33.7756178,-84.396285,100118.0,33074.0,63673.0,111.0,729.0,2826.0,1012.0,15388.0,3269.0,4091.0,7027.0,3126.0,1062.0,647.0,28621.0,45177.0,7866.0,695.0,279.0,34.85,33.3,36.475,35947.0,20016.75,717.75,104225.0,5.69,8.89,0.031,1.52
